time,latitude,longitude
2022-12-07 13:33:48.0610,49.27834264352502,-122.90898699990927
2022-12-07 13:33:49.0510,49.27832776065259,-122.90899157219931
2022-12-07 13:33:50.0550,49.278313812558366,-122.90899208451917
2022-12-07 13:33:51.0510,49.278304278483446,-122.90899797716914
2022-12-07 13:33:52.0600,49.278292365553185,-122.90900242141389
2022-12-07 13:33:53.0560,49.27828133958299,-122.90900699376598
2022-12-07 13:33:54.0590,49.27826930450776,-122.90901362050971
2022-12-07 13:33:55.0640,49.278258858296226,-122.90902659703586
2022-12-07 13:33:56.0700,49.27824654182238,-122.90903741283917
2022-12-07 13:33:57.0590,49.2782354669829,-122.9090459711613
2022-12-07 13:33:58.0530,49.278219397967376,-122.90905150945743
2022-12-07 13:33:59.0620,49.27820915048684,-122.90906432754493
