time,gFx,gFy,gFz,ax,ay,az,wx,wy,wz
2022-12-06 15:43:58.0880,2.7,-0.615,-0.043,-21.61,-3.85,-3.57,1.22,-3.96,0.71
2022-12-06 15:43:58.0990,3.211,-0.453,-0.25,-30.03,-4.04,1.29,1.72,-4.43,0.52
2022-12-06 15:43:58.1090,2.803,-0.183,0.052,-32.05,-6.35,1.52,2.01,-4.71,0.2
2022-12-06 15:43:58.1190,1.94,-0.053,0.453,-25.22,-8.69,-2.26,1.95,-4.94,-0.42
2022-12-06 15:43:58.1290,1.28,-0.615,0.557,-17.44,-8.91,-4.93,1.29,-1.97,-0.11
2022-12-06 15:43:58.1390,0.829,-6.143,0.127,-11.48,9.53,-4.04,1.69,0.09,2.19
2022-12-06 15:43:58.1490,-2.497,-8.175,2.043,-3.6,66.53,-4.46,-1.48,-3.3,-2.85
2022-12-06 15:43:58.1590,-6.436,-3.035,2.182,45.0,62.17,-23.6,-1.2,-4.91,-8.19
2022-12-06 15:43:58.1690,-3.015,4.671,1.877,56.59,-15.42,-23.15,-0.75,-2.17,-9.87
2022-12-06 15:43:58.1790,2.208,4.809,-2.24,9.94,-61.87,-2.77,1.25,-1.28,-6.93
2022-12-06 15:43:58.1890,4.312,3.299,-2.054,-32.73,-52.38,27.23,2.31,-0.95,-2.79
2022-12-06 15:43:58.1980,2.712,0.414,-0.072,-37.22,-31.89,12.86,1.29,-1.59,-0.2
2022-12-06 15:43:58.2080,1.823,-2.299,0.68,-18.47,-4.03,-3.25,1.3,-0.15,3.4
2022-12-06 15:43:58.2180,0.974,-4.812,0.684,-16.47,24.17,-5.39,0.63,-0.06,2.25
2022-12-06 15:43:58.2290,-2.335,-3.554,1.709,4.26,37.62,-9.32,-0.22,-1.76,-2.12
2022-12-06 15:43:58.2390,-2.71,-0.992,1.347,30.17,14.89,-16.57,-0.93,-2.84,-4.64
2022-12-06 15:43:58.2480,-1.098,0.203,0.387,23.27,-6.03,-9.18,-0.37,-2.96,-4.56
2022-12-06 15:43:58.2580,0.566,0.251,-0.572,6.92,-12.6,0.89,0.42,-1.28,-2.26
2022-12-06 15:43:58.2680,1.484,-0.472,-0.19,-7.78,-10.08,6.64,0.29,0.71,0.39
2022-12-06 15:43:58.2790,0.776,-1.499,0.711,-10.9,-0.7,-1.43,-0.23,0.95,0.4
2022-12-06 15:43:58.2880,-0.463,-1.805,0.786,0.12,7.49,-7.59,-0.54,0.41,-1.88
2022-12-06 15:43:58.2980,-0.492,-1.279,0.367,9.32,7.13,-5.83,-0.58,-0.25,-3.05
2022-12-06 15:43:58.3090,0.46,-0.701,0.045,4.75,0.63,-1.58,-0.53,-0.21,-2.38
2022-12-06 15:43:58.3180,1.127,-0.57,-0.055,-4.37,-3.22,0.59,-0.5,0.19,-1.2
2022-12-06 15:43:58.3290,1.074,-0.646,0.007,-8.2,-3.49,0.86,-0.51,0.26,-0.71
2022-12-06 15:43:58.3380,0.623,-0.888,0.035,-5.45,-2.07,0.07,-0.51,-0.03,-0.94
2022-12-06 15:43:58.3490,0.321,-1.112,-0.019,-1.05,0.6,0.13,-0.43,-0.23,-1.26
2022-12-06 15:43:58.3580,0.284,-1.088,-0.139,0.97,2.06,0.86,-0.36,-0.19,-1.38
2022-12-06 15:43:58.3690,0.383,-0.953,-0.193,0.79,1.11,1.95,-0.27,-0.08,-1.33
2022-12-06 15:43:58.3790,0.531,-0.976,-0.22,-0.3,0.21,2.17,-0.12,0.02,-1.2
2022-12-06 15:43:58.3890,0.67,-1.121,-0.181,-1.68,1.15,2.35,-0.03,0.0,-1.04
2022-12-06 15:43:58.3990,0.78,-1.261,-0.118,-2.82,2.67,1.66,0.08,-0.17,-0.9
2022-12-06 15:43:58.4080,0.885,-1.338,-0.144,-3.76,3.9,1.36,0.28,-0.3,-0.78
2022-12-06 15:43:58.4190,0.993,-1.389,-0.062,-4.76,4.47,1.63,0.41,-0.23,-0.53
2022-12-06 15:43:58.4280,1.026,-1.543,0.218,-5.61,5.24,-0.17,0.47,-0.26,-0.26
2022-12-06 15:43:58.4380,0.909,-1.886,0.363,-5.42,7.43,-2.57,0.48,-0.15,-0.12
2022-12-06 15:43:58.4490,0.57,-2.292,0.495,-3.52,11.33,-3.81,0.47,0.06,-0.19
2022-12-06 15:43:58.4580,0.059,-2.453,0.477,0.67,14.75,-4.66,0.58,0.36,-0.51
2022-12-06 15:43:58.4690,-0.354,-2.315,0.379,8.88,13.24,-2.87,0.69,0.54,-0.91
2022-12-06 15:43:58.4790,-0.526,-2.096,0.226,8.88,13.24,-2.87,0.91,0.48,-1.24
2022-12-06 15:43:58.4890,-0.509,-1.837,0.081,9.96,11.04,-0.91,0.97,0.58,-1.33
2022-12-06 15:43:58.4990,-0.443,-1.582,-0.021,9.47,8.5,0.06,1.12,0.98,-1.17
2022-12-06 15:43:58.5090,-0.366,-1.3,-0.27,9.0,6.03,2.03,1.11,1.26,-0.69
2022-12-06 15:43:58.5190,-0.389,-1.146,-0.232,8.33,3.49,3.74,0.92,1.23,-0.33
2022-12-06 15:43:58.5290,-0.603,-1.136,-0.059,9.41,2.75,2.94,0.7,0.94,-0.44
2022-12-06 15:43:58.5390,-0.834,-1.1,0.352,11.8,2.71,0.49,0.45,0.41,-1.06
2022-12-06 15:43:58.5500,-0.975,-0.999,0.648,13.84,2.17,-3.64,0.02,-0.43,-1.92
2022-12-06 15:43:58.5590,-1.05,-0.923,0.574,15.08,1.15,-5.23,-0.26,-1.48,-2.9
2022-12-06 15:43:58.5700,-1.101,-0.968,0.299,15.91,1.07,-3.42,-0.43,-1.91,-3.79
2022-12-06 15:43:58.5790,-1.236,-1.009,0.181,16.77,1.69,-1.21,-0.61,-1.35,-4.63
2022-12-06 15:43:58.5890,-1.611,-1.156,0.13,19.41,2.74,-0.67,-0.36,0.07,-5.45
2022-12-06 15:43:58.6000,-1.969,-1.241,0.069,23.72,4.43,-0.14,-0.16,1.17,-5.52
2022-12-06 15:43:58.6090,-2.083,-1.414,0.128,27.02,5.56,0.15,-0.5,0.57,-4.42
2022-12-06 15:43:58.6190,-1.841,-1.936,-0.004,27.09,8.89,-0.25,-0.59,-1.06,-3.42
2022-12-06 15:43:58.6290,-1.443,-2.134,-0.121,24.04,14.16,1.85,-0.34,-1.68,-2.86
2022-12-06 15:43:58.6390,-1.064,-1.899,0.294,20.3,14.09,0.85,-0.53,-1.66,-2.3
2022-12-06 15:43:58.6480,-0.78,-1.687,0.656,17.07,11.79,-4.13,-1.2,-1.77,-1.87
2022-12-06 15:43:58.6590,-0.523,-1.614,0.408,14.63,10.29,-5.89,-1.58,-1.93,-1.45
2022-12-06 15:43:58.6690,-0.241,-1.729,-0.118,12.12,10.35,-1.85,-1.18,-1.86,-0.76
2022-12-06 15:43:58.6780,0.036,-1.99,-0.388,9.33,12.23,2.45,-0.36,-1.7,-0.09
2022-12-06 15:43:58.6890,0.176,-2.174,-0.334,6.99,14.85,3.7,0.0,-1.44,-0.1
2022-12-06 15:43:58.6980,0.31,-2.087,-0.036,6.07,15.76,1.95,-0.24,-0.96,-0.48
2022-12-06 15:43:58.7080,0.777,-1.805,0.122,3.72,14.05,-1.14,-0.44,-0.38,-0.5
2022-12-06 15:43:58.7180,1.31,-1.49,-0.15,-1.67,10.99,-1.17,-0.37,0.38,-0.05
2022-12-06 15:43:58.7280,1.658,-1.185,-0.36,-6.24,8.01,2.05,-0.14,0.58,0.98
2022-12-06 15:43:58.7390,1.878,-0.85,-0.323,-9.12,4.87,2.97,-0.0,0.79,2.31
2022-12-06 15:43:58.7490,1.885,-0.685,-0.274,-10.75,1.73,2.59,-0.03,1.0,3.5
2022-12-06 15:43:58.7590,1.787,-0.653,-0.18,-10.36,0.63,1.91,-0.08,1.07,4.52
2022-12-06 15:43:58.7690,1.668,-0.607,-0.141,-9.58,-0.02,1.27,-0.08,1.06,5.4
2022-12-06 15:43:58.7790,1.551,-0.562,-0.079,-8.71,-0.85,0.98,-0.08,0.76,6.15
2022-12-06 15:43:58.7890,1.469,-0.477,0.023,-8.06,-1.84,0.22,-0.17,0.25,6.8
2022-12-06 15:43:58.8000,1.4,-0.387,0.123,-7.88,-3.16,-0.79,-0.33,-0.23,7.34
2022-12-06 15:43:58.8100,1.278,-0.283,0.181,-7.59,-4.51,-1.71,-0.53,-0.65,7.8
2022-12-06 15:43:58.8200,1.124,-0.178,0.142,-6.88,-5.98,-2.04,-0.64,-0.92,8.21
2022-12-06 15:43:58.8290,0.953,-0.077,-0.009,-5.96,-7.39,-1.31,-0.59,-0.98,8.58
2022-12-06 15:43:58.8400,0.797,0.006,-0.178,-5.09,-8.67,0.27,-0.41,-0.82,8.84
2022-12-06 15:43:58.8490,0.642,0.056,-0.354,-4.41,-9.67,1.82,-0.13,-0.3,8.94
